job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3829442556,linkedin,Systems Engineer - UK Wide,Jacobs,https://www.linkedin.com/company/jacobs,,,2024-02-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826072650,linkedin,Higher Apprenticeship Electrical Power Network Engineer (Sept 2024 Intake),SSE plc,https://uk.linkedin.com/company/sse-plc,"Salisbury, England, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826076120,linkedin,Higher Apprenticeship Electrical Power Network Engineer (Sept 2024 Intake),SSE plc,https://uk.linkedin.com/company/sse-plc,"Portsmouth, England, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826023081,linkedin,V&V Systems Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Southampton, England, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826634857,linkedin,Systems Engineer - Comms,NATS,https://uk.linkedin.com/company/nats,"Whiteley, England, UK",,2024-02-09,,59369.0,79159.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821029659,linkedin,Fire Alarm and Security Systems Small Works & Install Engineer,Protec Fire Detection PLC,https://uk.linkedin.com/company/protecfiredetection,"Fareham, England, UK",,2024-02-08,,32000.0,34000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825073205,linkedin,Senior Network Engineering PM,Hays,https://uk.linkedin.com/company/hays,"Portsmouth, England, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822830169,linkedin,Network and Infrastructure Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Portsmouth, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822477837,linkedin,Sales Negotiator / Administrator,Worth Recruiting,https://uk.linkedin.com/company/worthrecruiting,"Winchester, England, UK",,2024-02-05,,20000.0,27000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820807057,linkedin,Azure Admin & Application Support,Jordan Disposal Service/Gator Industrial,https://www.linkedin.com/company/jordan-disposal-service-gator-industrial,"Southampton, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820571133,linkedin,Senior Network Engineer,SoCode Recruitment,https://uk.linkedin.com/company/socode-recruitment,"Portsmouth, England, UK",,2024-02-02,,80000.0,90000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820247120,linkedin,"Field Service Engineer, Medical Systems in Portsmouth, UK",Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Portsmouth, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
