job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3828018803,linkedin,Technical Lead,ClickJobs.io,https://uk.linkedin.com/company/clickjobsio,"Liverpool, England, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822150883,linkedin,Data Solutions Architect - 130k  Bonus  Stocks Option,Pearson Carter,https://uk.linkedin.com/company/pearson-carter,"Warrington, England, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822610000,linkedin,Senior Software Engineer,Erin Associates Ltd,https://uk.linkedin.com/company/erin-associates-ltd,"Chorley, England, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826960319,linkedin,Presales Solution Architect - SAP,ClickJobs.io,https://uk.linkedin.com/company/clickjobsio,"Liverpool, England, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826628728,linkedin,Solutions Architect,Candour Solutions,https://uk.linkedin.com/company/candour-solutions-ltd,"Skelmersdale, England, UK",,2024-02-09,,70000.0,80000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821018885,linkedin,Cloud Solutions Architect,Connexa IT Recruitment,https://uk.linkedin.com/company/connexa-it-recruitment,"Liverpool, England, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821020382,linkedin,Cloud Solutions Architect,Connexa IT Recruitment,https://uk.linkedin.com/company/connexa-it-recruitment,"Ormskirk, England, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826151615,linkedin,Senior Software Engineer (Laravel),Plentific,https://uk.linkedin.com/company/plentific,"Liverpool, England, UK",,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3824293039,linkedin,Senior Software Engineer,Pulse Engineering Solutions Ltd,https://uk.linkedin.com/company/pulse-engineering-solutions,"Cuerdley Cross, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823831820,linkedin,Senior Full Stack Software Engineer,IT Labs,https://www.linkedin.com/company/it-labs,"Liverpool, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823210211,linkedin,Cloud Architect,Experfy,https://www.linkedin.com/company/experfy,"Liverpool, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823831814,linkedin,Senior Cloud Architect,IT Labs,https://www.linkedin.com/company/it-labs,"Liverpool, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823835362,linkedin,AWS Architect/Staff Cloud Engineer,IT Labs,https://www.linkedin.com/company/it-labs,"Liverpool, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823206781,linkedin,Cloud Architect,Experfy,https://www.linkedin.com/company/experfy,"Liverpool, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822384587,linkedin,"AWS Data Engineer, London, Hybrid, £65,000",Jefferson Frank,https://www.linkedin.com/company/jefferson-frank,"Kensington, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822271725,linkedin,Senior Software Engineer,Hiden Analytical,https://uk.linkedin.com/company/hiden-analytical-limited,"Warrington, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3806730910,linkedin,Data Architect,"KBR, Inc.",https://www.linkedin.com/company/kbr-inc,"Cheshire, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3811021908,linkedin,Principal Solutions Architect (Transport Solutions),Liverpool City Region Combined Authority,https://uk.linkedin.com/company/lpoolcityregion,"Merseyside, England, UK",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3814883243,linkedin,Senior Software Engineer,TipTopJob,https://uk.linkedin.com/company/tiptopjob,"Merseyside, England, UK",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812754924,linkedin,Senior Software Engineer,Premier Group Recruitment,https://uk.linkedin.com/company/premier-group-recruitment,"Merseyside, England, UK",,2024-01-23,,45000.0,60000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3773345114,linkedin,Senior Software Engineer (C#),Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Warrington, England, UK",,2023-11-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3768295482,linkedin,"Solution Architect - London/Manchester - GBP95,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Warrington, England, UK",,2023-11-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3768501086,linkedin,"Solution Architect - London/Manchester - GBP95,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Northwich, England, UK",,2023-11-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3768298265,linkedin,"Solution Architect - London/Manchester - GBP95,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"St. Helens, England, UK",,2023-11-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3770444259,linkedin,Solutions Architect,"KBR, Inc.",https://www.linkedin.com/company/kbr-inc,"Cheshire, England, UK",,2023-10-26,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3590300873,linkedin,Senior Programmer,Keywords Studios,https://ie.linkedin.com/company/keywordsstudios,"Runcorn, England, UK",,2023-04-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826732939,linkedin,Solutions Architect,Osmii,https://uk.linkedin.com/company/osmii,"Cheshire, England, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3830203039,linkedin,AI Solutions Architect,Avansel Recruitment - HR Consultancy in UK,https://www.linkedin.com/company/avansel-recruitment-hr-consultancy-in-uk,"Merseyside, England, UK",,,,55000.0,65000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3829921540,linkedin,Dynamics 365 Solution Architect,ClickJobs.io,https://uk.linkedin.com/company/clickjobsio,"Liverpool, England, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3830039117,linkedin,Senior Software Engineer,EA Technology,https://uk.linkedin.com/company/ea-technology,"Chester, England, UK",,,,60000.0,65000.0,£,,,Be an early applicant,,
